temperature,humidity,wind_speed,pressure,uv_index,rain_prob,season,time_of_day,feel_category
12.6,72.9,71.6,961.5,1.7,18.4,Autumn,Morning,Cold
16.9,65.8,6.8,1030.5,1.9,0.0,Spring,Night,Cool
18.6,63.6,0.8,855.8,4.7,16.0,Autumn,Morning,Cool
15.1,55.1,94.2,899.9,1.0,23.7,Autumn,Night,Cool
26.5,71.0,7.8,1087.2,7.8,88.5,Rainy,Morning,Comfortable
27.4,67.6,52.8,880.5,10.0,1.4,Summer,Afternoon,Comfortable
29.6,71.5,51.0,902.0,1.1,1.3,Summer,Night,Comfortable
-4.3,51.7,111.2,1031.8,3.3,22.8,Winter,Afternoon,Freezing
23.5,76.4,89.7,984.9,5.1,38.6,Autumn,Morning,Pleasant
13.9,46.3,19.8,853.9,0.8,15.8,Autumn,Night,Cold
27.9,90.5,92.6,868.5,0.7,47.0,Rainy,Evening,Comfortable
36.2,13.8,44.5,1017.2,1.3,23.7,Summer,Night,Hot
24.6,69.2,85.6,1040.2,1.1,86.3,Rainy,Evening,Pleasant
27.9,68.9,52.7,900.4,7.3,68.5,Rainy,Morning,Comfortable
24.0,37.7,72.5,985.0,0.4,37.7,Spring,Night,Pleasant
20.3,97.5,97.0,1008.4,1.7,88.2,Rainy,Evening,Pleasant
22.5,59.7,96.9,1074.0,0.6,4.4,Autumn,Night,Pleasant
35.7,42.7,103.3,851.7,1.0,16.7,Summer,Evening,Hot
16.6,48.6,113.1,930.8,4.6,28.1,Spring,Morning,Cool
49.3,48.5,30.2,974.3,8.0,11.4,Summer,Afternoon,Extreme Heat
40.2,30.1,6.2,919.7,1.8,9.6,Summer,Evening,Very Hot
-2.9,84.2,29.0,1018.0,6.3,54.3,Winter,Morning,Freezing
27.8,51.9,98.0,1049.6,0.3,20.3,Spring,Night,Comfortable
22.7,67.3,2.0,978.0,0.5,25.8,Spring,Evening,Pleasant
19.7,51.3,112.4,884.4,3.4,4.5,Autumn,Morning,Cool
-12.0,39.6,117.9,979.2,0.5,39.9,Winter,Evening,Very Freezing
22.6,64.8,40.7,937.3,6.1,35.9,Autumn,Morning,Pleasant
46.3,47.4,94.2,1017.2,1.2,14.9,Summer,Night,Extreme Heat
49.3,21.4,36.6,971.4,0.9,39.8,Summer,Evening,Extreme Heat
10.3,57.2,21.5,941.6,6.2,28.8,Autumn,Morning,Cold
27.3,50.2,31.8,911.0,1.9,15.7,Summer,Night,Comfortable
29.1,82.6,69.2,973.1,0.4,83.3,Rainy,Evening,Comfortable
18.3,87.6,21.3,1085.1,1.9,94.9,Rainy,Night,Cool
18.2,97.5,51.4,1091.7,1.9,91.2,Rainy,Night,Cool
17.5,44.8,58.2,943.2,3.8,33.8,Spring,Morning,Cool
19.0,72.3,80.5,939.7,0.5,57.7,Rainy,Night,Cool
9.7,37.5,85.1,988.2,3.1,16.8,Winter,Morning,Cold
1.4,34.5,0.6,1007.0,2.4,2.8,Winter,Morning,Very Cold
14.7,50.7,11.3,994.6,0.1,18.6,Autumn,Evening,Cold
22.7,31.7,4.5,1055.7,3.5,5.1,Spring,Afternoon,Pleasant
44.2,18.6,74.7,871.3,0.1,21.3,Summer,Night,Very Hot
19.9,69.6,116.3,1028.6,0.1,63.9,Rainy,Evening,Cool
28.4,73.8,22.1,870.2,0.9,81.3,Rainy,Night,Comfortable
47.9,27.7,28.8,873.5,6.8,37.4,Summer,Afternoon,Extreme Heat
37.9,36.3,52.3,1032.5,0.1,22.6,Summer,Night,Hot
19.7,77.0,11.0,873.5,3.2,98.8,Rainy,Morning,Cool
15.2,72.0,96.8,936.6,0.9,26.0,Spring,Night,Cool
13.2,78.8,31.3,853.8,7.5,20.0,Winter,Afternoon,Cold
17.1,33.9,77.1,856.6,5.1,37.6,Spring,Morning,Cool
18.0,37.1,97.3,1055.2,5.4,32.8,Autumn,Afternoon,Cool
-13.1,33.8,12.1,854.6,0.2,27.3,Winter,Evening,Very Freezing
33.0,76.5,2.8,1053.6,7.8,4.7,Summer,Afternoon,Warm
23.2,78.3,88.2,1050.9,3.0,7.1,Spring,Afternoon,Pleasant
45.2,49.6,49.5,943.0,1.6,13.6,Summer,Night,Extreme Heat
20.6,71.3,90.5,875.8,1.8,20.2,Spring,Night,Pleasant
32.4,35.5,6.4,1089.6,13.5,14.2,Summer,Afternoon,Warm
19.5,56.5,59.2,870.8,1.6,24.1,Autumn,Afternoon,Cool
13.0,82.0,93.8,878.4,1.9,98.5,Autumn,Evening,Cold
5.8,60.0,84.7,1092.2,5.8,33.5,Winter,Morning,Very Cold
46.0,27.0,26.7,949.2,13.9,5.9,Summer,Morning,Extreme Heat
18.0,62.0,103.6,1070.1,2.7,36.3,Spring,Morning,Cool
19.6,68.9,57.8,944.5,1.4,9.9,Spring,Night,Cool
24.1,73.9,48.6,992.9,1.5,86.0,Rainy,Evening,Pleasant
43.7,33.3,115.5,943.7,0.6,34.7,Summer,Evening,Very Hot
25.4,83.8,66.7,930.7,1.3,95.5,Spring,Afternoon,Comfortable
13.5,68.2,9.1,891.6,2.5,11.8,Autumn,Morning,Cold
42.4,25.4,88.5,1078.8,14.6,2.3,Summer,Morning,Very Hot
18.7,45.3,22.6,965.9,0.7,23.3,Autumn,Night,Cool
23.6,84.2,83.8,984.0,3.2,88.8,Autumn,Morning,Pleasant
12.3,80.1,98.7,1087.4,1.5,76.8,Autumn,Night,Cold
12.6,77.6,5.4,856.6,3.6,32.4,Winter,Afternoon,Cold
39.9,25.2,116.4,1060.5,1.7,18.7,Summer,Evening,Hot
21.8,67.0,103.8,1053.2,2.0,99.8,Rainy,Evening,Pleasant
25.0,82.0,102.0,911.8,0.9,47.7,Spring,Evening,Comfortable
26.5,73.0,80.6,1004.5,3.5,46.8,Rainy,Morning,Comfortable
-1.8,72.5,62.4,1063.0,4.9,22.4,Winter,Afternoon,Freezing
26.3,81.8,50.5,1046.2,5.5,88.3,Rainy,Morning,Comfortable
14.9,62.4,47.1,959.4,7.3,13.9,Autumn,Afternoon,Cold
47.8,21.9,62.8,1024.4,1.6,18.4,Summer,Night,Extreme Heat
44.2,12.6,5.5,1005.2,8.5,8.4,Summer,Afternoon,Very Hot
22.8,83.8,55.2,996.2,0.8,81.9,Rainy,Night,Pleasant
19.8,52.6,104.9,978.8,1.9,24.1,Autumn,Night,Cool
29.5,77.1,41.7,858.0,1.1,72.1,Rainy,Evening,Comfortable
22.5,37.1,39.6,930.4,1.6,19.2,Autumn,Afternoon,Pleasant
23.3,65.1,104.2,871.1,1.2,99.2,Rainy,Evening,Pleasant
-7.1,55.4,89.7,859.2,0.5,28.5,Winter,Night,Freezing
18.4,95.4,42.5,949.3,0.2,84.2,Rainy,Evening,Cool
17.9,76.2,10.7,983.8,2.6,13.7,Autumn,Afternoon,Cool
33.9,65.7,57.5,996.0,1.5,22.3,Summer,Night,Warm
28.2,45.6,43.6,1011.5,1.1,14.2,Summer,Night,Comfortable
22.9,43.0,12.2,888.2,2.7,6.4,Spring,Afternoon,Pleasant
22.0,71.1,107.6,870.1,4.7,64.6,Rainy,Afternoon,Pleasant
11.6,51.9,116.3,1066.4,1.6,10.3,Autumn,Night,Cold
31.0,84.5,68.6,920.0,6.4,51.2,Rainy,Afternoon,Warm
12.8,70.5,63.6,1026.8,1.5,3.5,Autumn,Evening,Cold
24.7,83.6,6.2,934.2,0.3,43.8,Rainy,Evening,Pleasant
14.5,74.5,30.6,1020.4,6.3,23.8,Autumn,Afternoon,Cold
19.5,94.8,89.5,952.1,7.5,99.5,Rainy,Afternoon,Cool
-6.7,81.0,86.6,862.0,1.6,89.7,Winter,Night,Freezing
25.4,75.4,22.4,908.9,5.4,36.3,Spring,Afternoon,Comfortable
39.7,37.3,54.2,1028.4,14.0,25.0,Summer,Morning,Hot
36.0,33.1,42.6,947.9,1.1,2.7,Summer,Evening,Hot
19.6,97.9,75.3,933.7,0.3,87.6,Rainy,Evening,Cool
21.9,79.2,94.6,887.9,3.2,9.9,Spring,Morning,Pleasant
30.1,69.3,59.3,1038.7,6.0,21.5,Summer,Afternoon,Warm
11.8,51.9,95.7,887.5,2.6,28.9,Autumn,Morning,Cold
2.4,68.2,65.1,912.9,0.7,7.3,Winter,Evening,Very Cold
0.4,52.0,55.4,1086.8,0.3,23.4,Winter,Night,Very Cold
-11.0,69.9,71.2,875.6,7.4,31.6,Winter,Morning,Very Freezing
23.5,72.4,44.9,867.2,0.2,4.2,Spring,Night,Pleasant
47.8,14.9,28.3,891.4,6.9,33.5,Summer,Afternoon,Extreme Heat
32.8,42.5,72.9,944.8,1.5,8.2,Summer,Evening,Warm
40.1,14.6,49.7,1065.9,14.2,18.6,Summer,Morning,Very Hot
30.9,85.5,3.9,1078.2,2.7,74.7,Rainy,Afternoon,Warm
10.5,47.1,93.7,919.4,2.5,8.5,Autumn,Afternoon,Cold
49.4,28.4,66.9,1065.2,1.1,7.4,Summer,Evening,Extreme Heat
26.7,71.2,25.2,1074.5,0.4,7.6,Summer,Night,Comfortable
21.1,61.1,7.9,1043.9,4.2,21.0,Spring,Morning,Pleasant
15.6,60.8,18.6,895.5,7.0,37.8,Autumn,Morning,Cool
11.4,59.0,96.1,1094.7,6.9,34.7,Winter,Afternoon,Cold
30.5,42.7,80.6,854.9,6.0,32.0,Summer,Morning,Warm
27.1,73.3,11.9,910.8,1.4,91.3,Rainy,Evening,Comfortable
23.6,88.4,24.6,923.3,1.8,40.8,Rainy,Night,Pleasant
46.2,14.9,105.2,1010.7,1.4,36.4,Summer,Evening,Extreme Heat
19.4,75.4,43.6,858.6,1.7,13.8,Spring,Night,Cool
46.5,18.8,116.9,1044.9,6.1,22.6,Summer,Afternoon,Extreme Heat
24.6,71.4,58.2,978.1,6.2,81.9,Rainy,Afternoon,Pleasant
30.5,65.5,50.6,883.1,1.8,27.6,Summer,Evening,Warm
25.7,59.1,97.8,974.5,0.1,16.2,Spring,Evening,Comfortable
-12.8,30.6,16.4,1075.0,1.7,23.9,Winter,Night,Very Freezing
19.3,39.6,109.7,954.7,3.7,20.8,Autumn,Morning,Cool
13.6,40.1,10.8,1042.7,0.1,33.5,Winter,Night,Cold
30.8,90.3,73.2,1087.3,0.8,97.2,Rainy,Night,Warm
17.8,31.7,31.5,998.8,0.1,19.9,Spring,Night,Cool
19.3,72.4,12.8,868.8,1.5,19.8,Spring,Evening,Cool
24.1,73.6,98.3,1049.9,1.4,56.3,Rainy,Night,Pleasant
-7.4,35.0,110.1,884.2,1.9,17.8,Winter,Night,Freezing
23.4,71.7,76.7,1039.8,6.1,25.5,Autumn,Afternoon,Pleasant
37.2,18.8,118.5,1086.0,5.4,28.2,Summer,Afternoon,Hot
38.9,28.9,37.5,880.1,1.5,7.7,Summer,Evening,Hot
13.0,56.1,103.4,1061.1,0.6,33.2,Winter,Evening,Cold
39.9,19.2,14.5,869.2,12.0,13.6,Summer,Afternoon,Hot
14.4,59.7,94.9,929.7,1.3,35.4,Autumn,Evening,Cold
-11.8,31.3,104.4,855.3,1.7,21.2,Winter,Night,Very Freezing
32.0,77.3,92.1,950.5,1.0,77.7,Rainy,Evening,Warm
15.6,35.0,40.4,980.6,1.5,0.1,Autumn,Evening,Cool
18.9,76.9,85.9,997.3,2.9,36.4,Spring,Afternoon,Cool
34.6,67.4,26.2,1087.5,1.6,3.6,Summer,Evening,Warm
26.6,70.8,118.9,907.9,7.6,79.0,Rainy,Afternoon,Comfortable
21.7,42.7,21.2,905.1,0.4,31.2,Spring,Evening,Pleasant
23.2,41.9,62.2,999.3,4.7,10.4,Spring,Morning,Pleasant
24.9,99.9,107.7,965.8,5.4,84.9,Rainy,Afternoon,Pleasant
47.4,44.4,54.9,947.8,7.7,19.1,Summer,Morning,Extreme Heat
29.9,66.2,39.5,1082.9,6.1,56.9,Rainy,Morning,Comfortable
10.1,68.3,5.9,983.2,1.9,4.4,Autumn,Evening,Cold
23.9,33.4,105.9,979.0,7.3,22.9,Autumn,Morning,Pleasant
-0.2,44.7,105.4,1049.4,1.3,34.0,Winter,Night,Freezing
27.9,94.3,83.7,1020.0,1.2,85.2,Rainy,Night,Comfortable
27.5,55.6,105.5,851.3,1.6,9.1,Spring,Evening,Comfortable
-0.5,71.6,31.0,898.3,0.2,13.1,Winter,Night,Freezing
27.9,50.7,1.1,1054.7,6.3,11.3,Summer,Morning,Comfortable
13.7,48.8,75.9,1083.0,1.7,37.5,Winter,Morning,Cold
23.3,39.2,92.5,1027.1,4.3,2.3,Autumn,Afternoon,Pleasant
30.2,99.1,116.3,1037.4,1.9,85.5,Rainy,Afternoon,Warm
25.7,50.5,98.3,913.1,0.0,6.4,Spring,Evening,Comfortable
13.1,35.6,102.5,981.8,6.8,11.9,Winter,Morning,Cold
3.8,66.0,32.8,1087.7,0.3,17.3,Winter,Evening,Very Cold
20.5,65.1,47.7,918.6,2.0,16.4,Spring,Evening,Pleasant
13.2,41.7,3.7,1012.9,3.6,34.6,Autumn,Afternoon,Cold
20.2,72.1,10.9,888.4,0.9,71.8,Rainy,Night,Pleasant
19.8,66.1,110.5,1004.2,6.6,68.9,Rainy,Morning,Cool
42.1,27.2,24.1,972.9,5.6,23.3,Summer,Afternoon,Very Hot
25.4,47.1,54.6,852.9,1.5,15.7,Spring,Afternoon,Comfortable
28.6,98.3,108.9,1031.1,6.2,48.8,Rainy,Morning,Comfortable
18.0,31.0,57.9,902.6,3.4,31.0,Autumn,Morning,Cool
-17.5,59.4,105.9,870.6,1.6,14.3,Winter,Night,Very Freezing
-0.1,67.9,96.1,900.0,2.2,4.2,Winter,Afternoon,Freezing
27.9,66.1,112.3,863.0,4.8,82.5,Rainy,Morning,Comfortable
8.1,48.7,97.8,870.0,1.8,21.9,Winter,Night,Cold
-4.2,65.4,63.2,1032.9,1.6,2.4,Winter,Afternoon,Freezing
16.7,63.9,39.5,967.5,6.2,34.9,Autumn,Morning,Cool
15.6,38.9,2.5,1013.3,0.7,21.7,Spring,Evening,Cool
19.1,79.1,26.5,954.6,0.4,90.4,Rainy,Evening,Cool
49.0,26.6,101.5,1007.2,12.4,30.7,Summer,Afternoon,Extreme Heat
17.6,58.3,70.6,857.3,0.8,24.2,Autumn,Night,Cool
-5.2,45.2,71.1,1078.1,0.4,24.9,Winter,Night,Freezing
18.1,72.7,48.6,1000.5,1.3,14.9,Spring,Evening,Cool
-5.5,33.8,52.5,874.3,0.8,23.7,Winter,Evening,Freezing
39.8,16.5,46.9,1092.4,0.5,26.3,Summer,Night,Hot
40.0,25.9,28.4,908.7,1.8,17.7,Summer,Night,Very Hot
-8.2,75.6,51.7,912.2,5.3,28.3,Winter,Morning,Freezing
10.5,70.5,79.7,968.7,1.7,32.2,Autumn,Night,Cold
22.2,41.3,13.4,917.4,0.1,21.2,Autumn,Evening,Pleasant
10.6,36.7,54.3,1083.5,3.2,20.3,Autumn,Afternoon,Cold
15.6,56.4,82.3,854.3,3.3,38.9,Autumn,Afternoon,Cool
22.8,83.6,15.1,883.2,2.0,96.4,Rainy,Afternoon,Pleasant
12.3,40.4,87.7,889.0,0.5,38.5,Autumn,Evening,Cold
9.3,82.0,82.0,974.3,5.3,92.1,Winter,Morning,Cold
